printed ,isRWE,isNNSponsored,isUSbasedStudy,changesNotes,isPhase3Trial,product,authors,articleTitle,studyTitle,clinicalTrialsIdentifier,pubmedLink,patientsOnNovoProduct,patientsOnComparitorProduct,treatmentArm1,treatmentArm2,treatmentArm3,treatmentArm4,treatmentArm5,backgroundMedications,objective,studyDesign,authorsConclusion,abstract,pubmedMESHkeywords,isBurdenOfDisease,isEpidemiology,isCost,isA1C,isWeightChange,isHypoglycemia ,isCardioVascular ,isAdherencePersistance ,isHealthEconomicEvaluation ,journal,volume,issue,pages,publicationYear,publicationType,language,fullCitationAndDOI,affiliations,isComparativeEffectiveness ,isLongTermStudies ,isShortTermStudies ,subPopulation ,isMetaAnalysis 
,N,Y,Y,,Y,Semaglitude,Ahrén B et al,"Efficacy and safety of once-weekly semaglutide versus once-daily sitagliptin as an add-on to metformin, thiazolidinediones, or both, in patients with type 2 diabetes (SUSTAIN 2): a 56-week, double-blind, phase 3a, randomised trial FUNDING: Novo Nordisk A/S.",SUSTAIN-2,NCT01930188,https://www.ncbi.nlm.nih.gov/pubmed/28385659 ,"818 (409, 409)",407,semaglutide 0.5 mg once weekly + sitagliptin placebo once daily,semaglutide 1.0 mg once weekly + sitagliptin placebo once daily,sitagliptin 100 mg once daily + semaglutide placebo 0.5 mg once weekly,sitagliptin 100 mg once daily + semaglutide placebo 1.0 mg once weekly,,metformin ± thiazolidinediones,"To assess the efficacy and safety of semaglutide versus the dipeptidyl peptidase-4 (DPP-4) inhibitor sitagliptin in patients with type 2 diabetes inadequately controlled on metformin, thiazolidinediones, or both","56-week, phase 3a, randomised, double-blind, double-dummy, active-controlled, parallel-group, multinational, multicentre trial","Once-weekly semaglutide was superior to sitagliptin at improving glycaemic control and reducing bodyweight in participants with type 2 diabetes on metformin, thiazolidinediones, or both, and had a similar safety profile to that of other GLP-1 receptor agonists. Semaglutide seems to be an effective add-on treatment option for this patient population.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Semaglitude,Aroda VR et al,"Efficacy and safety of once-weekly semaglutide versus once-daily insulin glargine as add-on to metformin (with or without sulfonylureas) in insulin-naive patients with type 2 diabetes (SUSTAIN 4): a randomised, open-label, parallel-group, multicentre, multinational, phase 3a trial. FUNDING: Novo Nordisk A/S.",SUSTAIN-4,NCT02128932,https://www.ncbi.nlm.nih.gov/pubmed/28344112,"722 (362, 360)",360,semaglutide 0.5 mg once weekly,semaglutide 1.0 mg once weekly,insulin glargine once daily,,,metformin  ± sulfonylurea,"To assess the efficacy and safety of semaglutide, a glucagon-like peptide-1 (GLP-1) analogue in clinical development, compared with insulin glargine in patients with type 2 diabetes who were inadequately controlled with metformin (with or without sulfonylureas).","Randomised, open-label, non-inferiority, parallel-group, multicentre, multinational, phase 3a trial","Compared with insulin glargine, semaglutide resulted in greater reductions in HbA1c and weight, with fewer hypoglycaemic episodes, and was well tolerated, with a safety profile similar to that of other GLP-1 receptor agonists.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,Y,,Y,Liraglutide,Buse JB et al,"Liraglutide once a day versus exenatide twice a day for type 2 diabetes: a 26-week randomised, parallel-group, multinational, open-label trial (LEAD-6). ",LEAD-6,NCT00518882,https://www.ncbi.nlm.nih.gov/pubmed/19515413 ,233,231,liraglutide 1.8 mg once a day,exenatide 10 microg twice a day,,,,metformin  ± sulfonylurea,"To compare the efficacy and safety of liraglutide, a human GLP-1 analogue, with exenatide, an exendin-based GLP-1 receptor agonist.","26-week open-label, parallel-group, multinational study","Liraglutide once a day provided significantly greater improvements in glycaemic control than did exenatide twice a day, and was generally better tolerated. The results suggest that liraglutide might be a treatment option for type 2 diabetes, especially when weight loss and risk of hypoglycaemia are major considerations",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Liraglutide,Davies MJ et al,Efficacy and Safety of Liraglutide Versus Placebo as Add-on to Glucose-Lowering Therapy in Patients With Type 2 Diabetes and Moderate Renal Impairment (LIRA-RENAL): A Randomized Clinical Trial,LIRA-RENAL,NCT01620489,https://www.ncbi.nlm.nih.gov/pubmed/26681713,140,139,liraglutide 1.8 mg once daily,placebo once  daily,,,,metformin  ± sulfonylurea,To establish the efficacy and safety of liraglutide as an add-on to existing glucose-lowering medications in patients with inadequately controlled type 2 diabetes and moderate renal impairment,"26-week, double-blind, randomized trial","Liraglutide did not affect renal function and demonstrated better glycemic control, with no increase in hypoglycemia risk but with higher withdrawals due to GI adverse events than placebo",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Liraglutide,DeVries JH et al,Sequential intensification of metformin treatment in type 2 diabetes with liraglutide followed by randomized addition of basal insulin prompted by A1C targets. ,The Effect of Insulin Detemir in Combination With Liraglutide and Metformin Compared to Liraglutide and Metformin in Subjects With Type 2 Diabetes,NCT00856986,https://www.ncbi.nlm.nih.gov/pubmed/22584132 ,"323 (162, 161)",0,liraglutide 6.0 units/mL once daily,liraglutide 6.0 units/mL once daily + insulin detemir 100 units/mL once daily,,,,metformin,"To evaluate a novel treatment intensification sequence: adding a GLP-1RA (liraglutide) to metformin followed by a randomized, open-label investigation of further intensification with systematically titrated basal insulin (insulin detemir) in participants with ≥7% A1C.","38-week, open-label trial comprised a 12-week run-in followed by a 26-week, randomized, two-armed, parallel-group period for participants not achieving <7% A1C","Supplementation of metformin with liraglutide and then insulin detemir was well tolerated in the majority of patients, with good glycemic control, sustained weight loss, and very low hypoglycemia rates.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,Y,,Y,Liraglutide,Garber A et al,"Liraglutide versus glimepiride monotherapy for type 2 diabetes (LEAD-3 Mono): a randomised, 52-week, phase III, double-blind, parallel-treatment trial",LEAD-3 Mono,NCT00294723,https://www.ncbi.nlm.nih.gov/pubmed/18819705 ,498 (251; 247),248,liraglutide 1.2 mg once daily,liraglutide 1.8 mg once daily,glimepiride 8mg once daily,,,none,To investigate the safety and efficacy of liraglutide as monotherapy for this disorder.,"Double-blind, double-dummy, active-control, parallel-group study","Liraglutide is safe and effective as initial pharmacological therapy for type 2 diabetes mellitus and leads to greater reductions in HbA(1c), weight, hypoglycaemia, and blood pressure than does glimepiride.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Liraglutide,Marre M et al,"Liraglutide, a once-daily human GLP-1 analogue, added to a sulphonylurea over 26 weeks produces greater improvements in glycaemic and weight control compared with adding rosiglitazone or placebo in subjects with Type 2 diabetes (LEAD-1 SU). ",LEAD-1 SU,NCT00318422,https://www.ncbi.nlm.nih.gov/pubmed/19317822 ,"695 (233, 228, 234)","346 (114, 232)",liraglutide 0.6 mg + glimepiride 2-4 mg + rosiglitazone placebo ,liraglutide 1.2 mg + glimepiride 2-4 mg + rosiglitazone placebo,liraglutide 1.8 mg + glimepiride 2-4 mg + rosiglitazone placebo ,glimepiride 2-4 mg + liraglutide placebo + rosiglitazone placebo,rosiglitazone 4 mg +  glimepiride 2-4 mg + liraglutide placebo,none,"To compare the effects of combining liraglutide (0.6, 1.2 or 1.8 mg/day) or rosiglitazone 4 mg/day or placebo with glimepiride (2-4 mg/day) on glycaemic control, body weight and safety in Type 2 diabetes.","Five-arm, 26-week, double-dummy, randomized study",Liraglutide added to glimepiride was well tolerated and provided improved glycaemic control and favourable weight profile.,,,,,,,,,,,,,,,,,,,,,,,,,
,Y,Y,Y,,Y,Liraglutide,Marso SP et al,Liraglutide and Cardiovascular Outcomes in Type 2 Diabetes,LEADER,NCT01179048,https://www.ncbi.nlm.nih.gov/pubmed/27295427   ,4668,4672,liraglutide 1.8 mg,placebo ,,,,standard of care,To assess the long-term effects of liraglutide on cardiovascular outcomes and other clinically important events,"Multicenter, double-blind, placebo-controlled trial with type 2 diabetes and high cardiovascular risk patients randomly assigned to receive liraglutide or placebo. ","In the time-to-event analysis, the rate of the first occurrence of death from cardiovascular causes, nonfatal myocardial infarction, or nonfatal stroke among patients with type 2 diabetes mellitus was lower with liraglutide than with placebo.",,,,,,,,,,,,,,,,,,,,,,,,,
,Y,Y,N,,Y,Semaglitude,Marso SP et al,Semaglutide and Cardiovascular Outcomes in Patients with Type 2 Diabetes.,SUSTAIN-6,NCT01720446,https://www.ncbi.nlm.nih.gov/pubmed/27633186,1648,1649,semaglutide 0.5 mg,semaglutide 1.0 mg,volume matchedplacebo (0.5 mg) ,volume matched placebo (1.0 mg) ,,standard of care,"To establish cardiovascular effects of semaglutide, a glucagon-like peptide 1 analogue with an extended half-life of approximately 1 week, in type 2 diabetes  ","Randomized, double-blind, placebo-controlled, parallel-group trial ","In patients with type 2 diabetes who were at high cardiovascular risk, the rate of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke was significantly lower among patients receiving semaglutide than among those receiving placebo, an outcome that confirmed the noninferiority of semaglutide.",,,,,,,,,,,,,,,,,,,,,,,,,
,N,Y,N,,Y,Liraglutide,Nauck M et al,"Efficacy and safety comparison of liraglutide, glimepiride, and placebo, all in combination with metformin, in type 2 diabetes: the LEAD (liraglutide effect and action in diabetes)-2 study. ",LEAD-2,NCT00318461,https://www.ncbi.nlm.nih.gov/pubmed/18931095 ,"725 (242, 241, 242)","366 (244, 122)",liraglutide 0.6 mg ,liraglutide 1.2 mg ,liraglutide 1.8 mg ,placebo,glimepiride 4 mg ,metformin,To compare the efficacy and safety of adding liraglutide (a glucagon-like peptide-1 receptor agonist) to metformin with addition of placebo or glimepiride to metformin in subjects previously treated with oral antidiabetes (OAD) therapy.,"26-week, double-blind, double-dummy, placebo- and active-controlled, parallel-group trial","In subjects with type 2 diabetes, once-daily liraglutide induced similar glycemic control, reduced body weight, and lowered the occurrence of hypoglycemia compared with glimepiride, when both had background therapy of metformin.",,,,,,,,,,,,,,,,,,,,,,,,,
